True,Pred,Text
早期,晚期,寧肁其作乙考尊𣪕，其用各百神用綏多福，世孫子寶。
早期,中期,隹九月既生霸，公令𫜞從□友□炎身，𫜞既告於公。休亡䀑。敢對揚厥休，用作辛公寶尊彝。用夙夕配宗。子子孫孫，其萬年永寶。
早期,晚期,唯番昶伯者君，自作寶盤，其萬年子孫永寶用享。
晚期,早期,邊子作飤簠，夷為其行器，永壽用。
早期,晚期,翏作北子柞𣪕，用興厥祖父日乙，其萬年子子孫孫永寶。
晚期,早期,唯王五月，既字廹期，吉日初庚，吳王光擇其吉金，玄礦白礦，以作叔姬寺吁宗彝薦鑑，用享用孝，眉壽無疆，往已叔姬，虔敬乃后，子孫勿忘。
晚期,中期,唯王正月，辰才甲午，王曰：𬹜，命汝𤔲成周里人，眔諸侯、大亞，訊訟罰。取徵五鋝，賜汝夷臣十家，用事。𬹜拜𩒨首，對揚王休命，用作寶𣪕，其子子孫孫寶用。
晚期,中期,"初吉甲戌,王命□周，王若曰：“𬙜甥...... 𬙜甥拜手稽首，敢對揚王休，𬙜甥用作穆公大林鐘，用降多福，用喜侃前文人，用祈康𬋴、純魯，用受。"
早期,晚期,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
中期,早期,唯正月甲午，王在𬯢㡴。王親令伯倁曰：毋俾農特，使厥友妻農，廼廩厥帑，厥小子，小大事毋又田。農三拜𩒨首，敢對揚王休，從作寶彝。
中期,晚期,宮令宰僕賜甹白金十鈞，甹敢拜稽首。
晚期,中期,𫩢𫲾作朕文考日辛寶尊𣪕，𫲾其萬年，子子孫孫永寶用。
中期,早期,𫪨作尊𣪘，其壽考寶用。
中期,晚期,大司馬昭陽敗晉師於襄陵之歲，夏𫵖之月，乙亥之日。王處於𦸗郢之遊宮。大工尹脽以王命，命集尹怊𬖡、織尹逆、織𪵍𨸔，為鄂君啟之府就鑄金節，車五十乘，歲贏返。毋載金、革、篃、箭，如馬、如牛、如特，屯十以當一車。如擔徒，屯廿擔以當一車，以毀於五十乘之中。自鄂市，就陽丘、就方城、就象禾、就柳棼、就繁陽、就高丘、就下蔡、就居巢、就郢。見其金節，則毋徵，毋捨饌飤。不見其金節則徵。
中期,晚期,大司馬昭陽敗晉師於襄陵之歲，夏𫵖之月，乙亥之日。王處於𦸗郢之遊宮。大工尹脽以王命，命集尹怊𬖡、織尹逆、織𪵍𨸔，為鄂君啟之府就鑄金節，屯三舟為一舸，五十舸。歲贏返。自鄂市，逾淯，上漢，就榖，就鄖陽，逾漢，就襄，逾夏，入溳，逾江，就彭澤，就樅陽，入瀘江。就爰陵，上江，入湘，就䁋，就洮陽，入㵢，就郴，入資、沅、澧、油，上江。就木關，就郢。見其金節，則毋徵，毋捨饌飤。不見其金節則徵。如載馬、牛、羊，以出入關，則徵於太府，毋徵於關。1. 117011.斷代：战国晚期2.釋文：十五年，守相廉頗、邦右庫工師韓亥、冶巡撻劑，大工尹公孫桴。2. 117021.斷代：战国晚期2.釋文：十五年，守相埶、廉頗、邦左庫工師采䧞、冶句𪯎劑，大工尹公孫桴。
早期,晚期,邕子良人擇其吉金，自作飤甗，其萬年無疆，其子子孫永壽用之。
晚期,中期,隹四月初吉，王才屖宮，宰屖父佑害立，王冊命害，曰：賜汝賁朱衡，玄衣黹純、㫃、鋚勒，賜戈琱胾、彤蘇，用籑乃祖考事。官𤔲夷僕、小射、底魚，害𩒨首，對揚王休命，用作文考寶𣪘，其孫孫子子永寶用。
中期,晚期,唯六月既死霸丙寅，師雍父戍在古師，踽從師雍父，肩事𨕘使于胡侯，侯蔑𨕘𤯍，賜𨕘金，用作旅甗。
早期,晚期,伯椃作厥宮室寶𣪘，用追孝於厥皇考，唯用祓萬年，孫孫子子永寶。
晚期,早期,天尹作元弄。
中期,晚期,𦎫不淑，[UNK-05392-0]乃邦，烏乎，𫌻帝家，以寡子作永寶，子
晚期,早期,唯正月初吉辛亥，郩𫲹之孫筥大史申，作其竈鼎十，用征以迮，以御賓客，子孫是若。
早期,晚期,𬀔作寶𣪘，其萬年用。
晚期,早期,唯九月初吉壬申，嘉子伯昜臚用其吉金，自作寳簠，子子孫孫，永壽用之。
中期,早期,伯百父作周姜寶𣪘，用夙夕享，用祈萬壽。
早期,晚期,曾太保□用吉金，自作□𣪘，用□□□，萬年眉壽，子子孫孫永用之。
晚期,早期,八田日，子叔𤘠父作行器，永祜福。
中期,晚期,㠱仲作倗甥飲壺、匄三壽、懿德、萬年。
早期,晚期,杞伯每刃作邾𪦡寶壺，萬年眉壽，子子孫孫，永寶用享。
中期,晚期,唯十又二月既望，辰在壬午，伯屖父休于縣妃，曰：𠭯乃任縣伯室，賜汝婦爵，𠨘之先琱玉、黃[UNK-04269-0]，縣妃奉揚伯屖父休，曰：休伯𦉼𬐝恤縣伯室，賜君我唯賜儔，我不能不眔縣伯萬年保，肆敢肆于彝，曰：其自今日，孫孫子子毋敢忘伯休。
晚期,早期,仲幾父使幾使于者𥎦，者監，用厥賓作丁寶𣪕。
中期,早期,唯六月初吉，師湯父有𤔲仲枏父作寶鬲，用敢饗孝于皇祖考，用祈眉壽，其萬年，子子孫孫其永寶用。
早期,晚期,十一月丁亥，純裔孫逆，作為皇祖大宗𣪕，以貺永令眉壽。子孫是保。
