True,Pred,Text
春秋,西周,虢叔作叔殷㝅尊鬲。
春秋,西周,唯番昶伯者君，自作寶盤，其萬年子孫永寶用享。
西周,春秋,益公爲楚氏龢鐘。
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
西周,春秋,復公子伯舍曰：敃新作我姑登孟媿媵𣪕，永壽用之。
西周,春秋,㠱伯子𫳙父，作其征盨，其陰其陽，以𨒌以行，匄眉壽無疆，慶其以臧。
春秋,西周,唯番君𨠣伯自作寶鼎，萬年無疆，子子孫永用。
戰國,春秋,階侯微逆作簠，永壽用之。
西周,春秋,芮太子白作簠，其萬年，子子孫孫永用。
西周,春秋,魯士商𠭯肇作朕皇考弔猒父尊𣪕，商𠭯其萬年眉壽，子子孫孫，永寶用享。
春秋,西周,唯荊曆屈夕，晉人救戎于楚境。
戰國,春秋,齊陳曼不敢逸康，肇謹經德，作皇考獻叔饙盤，永保用簠。
西周,春秋,黃君作季劦𥹅媵𣪘，用賜眉壽、黃耇、萬年，子子孫孫。永寶用享
戰國,春秋,十一月丁亥，純裔孫逆，作為皇祖大宗𣪕，以貺永令眉壽。子孫是保。
西周,春秋,叔邦父作簠，用征用行，用從君王，子子孫孫，其萬年無彊。
戰國,春秋,唯正六月癸未，陳侯因齊曰：皇考孝武桓公恭戴，大謨克成，其惟因齊揚皇考，紹緟高祖黃帝，侎嗣𧻚文，朝問諸侯，答揚厥德，諸侯夤薦吉金，用作孝武𧻚公祭器敦。以烝以嘗，保有齊邦。世萬子孫，永為典常。
西周,春秋,魯小𤔲寇封孫𢇚，作其子孟姬𫱥媵盤匜，其眉壽萬年，永寶用之。
西周,春秋,□叔□奠□，黽以□其吉金，□寶壺，用賜眉壽，子子孫孫，其永用之。
戰國,春秋,唯王廿又六年，聖桓之夫人曾姬無恤，𫊟安茲漾陵，蒿間之無匹。用作宗彝尊壺，後嗣用之，職在王室。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
殷,西周,刺冊，作父己彝。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
春秋,戰國,秦子作造公族元用，左右芾魼，用逸，宜。
