true_char,pred_topk,pred1,context
庚,庚壬丙戊甲,庚,唯 五 年 三 月 ， 既 死 霸 寅 ， 王 初 格 伐 玁 狁 于 𫊣 。
申,寅申午戌辰,寅,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
廟,廟廷公門室,廟,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
入,入造立伐守,入,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
四,三四二五七,三,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
萬,千才鬲萬自,千,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
四,百四廿八十,百,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
俘,俘獲得芻殺,俘,唯 八 月 既 望 ， 辰 在 甲 ， 昧 爽 ， 三 左 三 右 多 入 服 酒 ， 明 ， 王 各 周 ， □□□ 邦 賓 ， 延 邦 尊 其 旅 服 ， 東 嚮 ， 盂 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 □□ 伐 鬼 方 ， □□□ □ ， 執 酋 三 人 ， 獲 聝 千 八 百 又 二 聝 ， 俘 人 三 千 八 十 一 人 ， 俘 馬 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
月,月日既年祀,月,唯 王 卅 又 四 祀 ， 唯 五 既 朢 戊 午 ， 王 在 京 ， 禘 於 昭 王 ， 鮮 蔑 ， 王 𬔧 ， 祼 玉 三 品 ， 貝 朋 ， 對 王 休 ， 用 作 ， 孫 其 永 寶 。
廿,三十百五廿,三,唯 王 卅 又 四 祀 ， 唯 五 既 朢 戊 午 ， 王 在 京 ， 禘 於 昭 王 ， 鮮 蔑 ， 王 𬔧 ， 祼 玉 三 品 ， 貝 朋 ， 對 王 休 ， 用 作 ， 孫 其 永 寶 。
