true,pred,text
春秋,西周,元年正月，初吉辛亥，蔡侯申虔恭大命，上下陟𬒷，擸敬不易，肈佐天子，用乍大孟姬賸彝缶，禋享是以了，祗盟嘗𠼬，祐受無已，䄢𧪕整肅，𬕿文王母，穆穆亹亹，聰憲訢𬀑，威儀優優，靈頌託商，康諧穆好，敬配吳王，不諱考壽，子孫蕃昌，永保用之，千歲無疆。
春秋,西周,喬君淲虘與朕以𫢃，作許者俞寶𨭘鐸，其萬年，用享用孝，用祈眉壽，子子孫孫，永寶用之。
春秋,西周,"齊侯女雷聿喪其舅，齊侯命太子來句宗伯，聽命于天子，曰：期則爾期，余不其使汝受刺，遄傳祇御，爾其躋受御，齊侯拜嘉命，于上天子用璧玉𨌥一笥，于大無𤔲誓,于大𤔲命用璧、兩壺、八鼎，于南宮子用璧二𨌥，玉二笥，鼓鐘一銉，齊侯既躋洹子孟姜喪，其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜喪其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜用乞嘉命，用祈眉壽，萬年無疆，用御爾事。"
殷,西周,癸巳，𢦚賞小子䍙貝十朋，在上𬪰，唯𢦚令伐夷方，䍙儐貝，用乍文父丁尊彝，才十月四，𫤵。
殷,西周,王由攸田劦，作父丁尊，瀼。
西周,春秋,𬆨句作其寶壺，用興夫人，其萬年，子子孫孫永寶用享。
戰國,西周,階侯微逆作簠，永壽用之。
戰國,西周,蚔生丕作戎械，燕侯載自洹來，大庇欽祇，廼熙。
戰國,西周,九年，將軍張二月，剸宮我其獻
春秋,西周,滕侯昃之禦敦。
戰國,西周,二年，寺工師初、丞拑、廩人莽，三斗，北寢。糟府。
春秋,西周,秦公曰：丕顯朕皇祖，受天命，冪宅禹跡，十又二公，在帝之坯，嚴恭夤天命，保業厥秦，赫吏蠻夏，余雖小子，穆穆帥秉明德，烈烈𧻚𧻚，萬民是敕，咸畜胤士，𫎽𫎽文武，鎮靖不廷，虔敬朕祀，作噚宗彝，以昭皇祖，其嚴遄各，以受純魯多釐，眉壽無疆，畯疐在天，高引有慶，造有四方，宜，西元器，一斗七升小賸升，𣪕，西，一斗七升大半升，蓋。
春秋,西周,唯王正月，初吉丁亥，呂縓曰：余畢公之孫、呂伯之子，余頡頏事君，余狩丮武，作爲余鐘，玄鏐𬬚鋁，大鐘八肆，其簉四堵，矯矯其龍，既伸暢虡，大鐘既懸，玉毊鼉鼓，余不敢爲驕，我以享孝，樂我先祖，以祈眉壽，世世子孫，永以爲寶。
戰國,西周,冶師紹聖𪢶、佐陳共為之。楚王熊悍戰獲兵銅，正月吉日，室鑄小盤，以供歲嘗。
春秋,西周,戎獻金于子牙父百車，而賜魯殿敖金十鈞。賜不諱。殿敖用攃用璧，用𩒨首。其佑子嘟、史孟。殿敖謹用豹皮于史孟。用作寶𣪕，殿敖其子子孫孫永寶。
春秋,西周,唯王五月，既字廹期，吉日初庚，吳王光擇其吉金，玄礦白礦，以作叔姬寺吁宗彝薦鑑，用享用孝，眉壽無疆，往已叔姬，虔敬乃后，子孫勿忘。
春秋,西周,郳公克鑄其饙敦，永保用之。46421、斷代：春秋2、釋文：荊公孫鑄其膳敦，萬壽用之，大寶無期。
春秋,西周,唯王五月，初吉丁亥，齊辟鮑叔之孫、躋仲之子紷，作子仲姜寶鎛，用祈侯氏永命，萬年令保其身，用享孝于皇祖聖叔，皇妣聖姜，于皇祖又成惠叔，皇妣又成惠姜，皇考躋仲、皇母，用祈壽老毋死，保吾兄弟，用求考命、彌生，肅肅義政，保吾子姓，鮑叔有成勞于齊邦，侯氏賜之邑二百又九十又九邑，與鄩之民人都鄙，侯氏從造之曰：世萬至於台孫子，勿或渝改，鮑子紷曰：余彌心畏忌，余四事是以，余爲大攻厄、大吏、大徒、大宰，是台可使，子子孫永保用享。
春秋,西周,胡侯之孫𬯔之𬹥。
春秋,西周,唯正月初吉丁亥，工䱷王皮然之子者𬐴擇其吉金，自作謠鐘，不白不騂，不濁不清，協于我靈籥，俾龢俾孚，用祈眉壽繁釐，于其皇祖皇考，若召公壽，若叁壽，俾汝𬺡𬺡𫦊𫦊，龢龢鏘鏘，其登于上下，聞于四方，子子孫孫，永保是常。唯正月初吉丁亥，工䱷王皮然之子者𬐴自作謠鐘，子子孫孫，永保用之。
春秋,西周,唯正月初吉丁亥，陳侯作王仲媯𬏹母媵盤，用祈眉壽，萬年無疆，永壽用之。
春秋,西周,工䱷太子姑發衈反，自乍元用，在行之先，云用云獲，莫敢禦余，余處江之陽，至於南行西行。
春秋,西周,𬛨山奢淲鑄其寳簠，子子孫孫永寳用。
春秋,西周,唯鄧九月初吉，不故女夫人以迮鄧公，用為女夫人尊𢽞𬢫。
春秋,西周,吉日壬午，作為元用，玄鏐𬬚鋁，朕余名之，謂之少虡。
春秋,西周,"唯正月初吉庚午，余受此于之玄孫,聖𬰟公𬌨擇其吉金，玄鏐鈍鋁，自作𬯫鼓，命从若敳，遠淑聞于王東吳谷，逆于徐人、陳人，却蔡于寺，其神其臭，□□□□□□□□□□□□□□□，以攴野于陳□□山之下。余持可參□□，其□鼓茯茯，乃于之雩，永祀是抈。俳公獲飛龍，曰夜白，□□□□□□，余以共旒示□帝庶子，余以享同姓九礼，以飤大夫、朋友，余以宅東土，至于淮之上，世□萬子孫永保。"
春秋,西周,邾君求吉金，用自作其龢鐘、龢鈴，用處大政。
春秋,西周,伯𪢔父作饙簠，其萬年永寳用。
殷,西周,亞沚，庚寅，僆祓□在寑，王光賞僆貝，用作父丁彝。
戰國,春秋,正月季春，元日己丑，余畜孫書也，擇其吉金，以作鑄缶，以祭我皇祖，余以祈眉壽，欒書之子孫萬世是寶。
西周,春秋,芮公作鑄寳簠，子孫永寳用享。
戰國,西周,鑄客為集饈為之。
春秋,西周,黃子作黃夫人行器，則永祜福，靈終，靈後
春秋,西周,陸融之孫邾公𫒇        ，作厥龢鐘，用敬恤盟祀，祈年眉壽，用樂我嘉賓，及我正卿，揚君靈，君以萬年。
春秋,西周,唯鄀正二月，鄀公敄人自作奏鐘，用追孝於厥皇祖哀公，皇考䢅公，用祈眉壽，萬年無疆，子子孫孫，永寶用之。
戰國,西周,戎𧻚搏武，敷入吳疆，惓作龢鐘。
戰國,西周,天子建邦，中山侯忺作茲軍鈲，以儆厥眾。
戰國,西周,麌侯自作龢鐘用。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
春秋,西周,黃子作黃孟姬行器，則永祜福，靈終靈後。
殷,西周,乙亥，尹各于宫，賞執，賜鋁二、筆二，執用作父丁尊彝。
西周,春秋,唯正月初吉庚午，囂伯媵嬴尹母沬盤。其萬年，子子孫永用之。
戰國,西周,十二㭉，左使車嗇夫孫固、工師賃，重五百六十九刀，左𦆕者。
殷,西周,乙巳，子令小子逢先以人于堇。子光賞逢貝二朋，子曰：貝唯丁蔑汝𤯍，逢用作母辛彝，在十月，唯子曰令望夷方䍙，母辛𫤵。
戰國,西周,鑄客為王后六室爲之，八。
春秋,西周,唯正月己亥，和肇作皇母懿龏孟姬饙彝。
春秋,西周,唯番君𨠣伯自作寶鼎，萬年無疆，子子孫永用。
春秋,西周,唯□月初吉庚午，吳王□□□□犬子配兒，曰：余孰臧于戎功且武，余畢龏畏忌，余不敢䛴，余擇厥吉金，玄鏐𬬚鋁，自作鈎鑃，以宴賓客，以樂我諸父，子孫用之，先人是𧦃。
春秋,西周,商丘叔作其旅簠，其萬年，子子孫孫永寶用。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
戰國,西周,太𢊾之𩜊盞。
戰國,西周,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
春秋,西周,曹伯狄乍宿𫰉公尊𣪕，其萬年眉壽，子子孫孫，永寶用享。
