true,pred,text
春秋,西周,"齊侯女雷聿喪其舅，齊侯命太子來句宗伯，聽命于天子，曰：期則爾期，余不其使汝受刺，遄傳祇御，爾其躋受御，齊侯拜嘉命，于上天子用璧玉𨌥一笥，于大無𤔲誓,于大𤔲命用璧、兩壺、八鼎，于南宮子用璧二𨌥，玉二笥，鼓鐘一銉，齊侯既躋洹子孟姜喪，其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜喪其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜用乞嘉命，用祈眉壽，萬年無疆，用御爾事。"
殷,西周,癸巳，𢦚賞小子䍙貝十朋，在上𬪰，唯𢦚令伐夷方，䍙儐貝，用乍文父丁尊彝，才十月四，𫤵。
殷,西周,王由攸田劦，作父丁尊，瀼。
戰國,春秋,階侯微逆作簠，永壽用之。
戰國,西周,蚔生丕作戎械，燕侯載自洹來，大庇欽祇，廼熙。
西周,春秋,伊譒作簠，用事于考，永寳用之。
戰國,西周,九年，將軍張二月，剸宮我其獻
春秋,戰國,滕侯昃之禦敦。
春秋,西周,邿譴作寶𣪘，用追孝于其父母，用賜永壽，子子孫孫，永寶用享
春秋,西周,戎獻金于子牙父百車，而賜魯殿敖金十鈞。賜不諱。殿敖用攃用璧，用𩒨首。其佑子嘟、史孟。殿敖謹用豹皮于史孟。用作寶𣪕，殿敖其子子孫孫永寶。
春秋,西周,唯王五月，初吉丁亥，齊辟鮑叔之孫、躋仲之子紷，作子仲姜寶鎛，用祈侯氏永命，萬年令保其身，用享孝于皇祖聖叔，皇妣聖姜，于皇祖又成惠叔，皇妣又成惠姜，皇考躋仲、皇母，用祈壽老毋死，保吾兄弟，用求考命、彌生，肅肅義政，保吾子姓，鮑叔有成勞于齊邦，侯氏賜之邑二百又九十又九邑，與鄩之民人都鄙，侯氏從造之曰：世萬至於台孫子，勿或渝改，鮑子紷曰：余彌心畏忌，余四事是以，余爲大攻厄、大吏、大徒、大宰，是台可使，子子孫永保用享。
春秋,戰國,工䱷太子姑發衈反，自乍元用，在行之先，云用云獲，莫敢禦余，余處江之陽，至於南行西行。
春秋,西周,唯鄧九月初吉，不故女夫人以迮鄧公，用為女夫人尊𢽞𬢫。
西周,春秋,單𬙜甥作羞豆，用享
春秋,西周,伯𪢔父作饙簠，其萬年永寳用。
殷,西周,亞沚，庚寅，僆祓□在寑，王光賞僆貝，用作父丁彝。
戰國,春秋,正月季春，元日己丑，余畜孫書也，擇其吉金，以作鑄缶，以祭我皇祖，余以祈眉壽，欒書之子孫萬世是寶。
春秋,西周,唯鄀正二月，鄀公敄人自作奏鐘，用追孝於厥皇祖哀公，皇考䢅公，用祈眉壽，萬年無疆，子子孫孫，永寶用之。
戰國,西周,戎𧻚搏武，敷入吳疆，惓作龢鐘。
戰國,春秋,天子建邦，中山侯忺作茲軍鈲，以儆厥眾。
戰國,西周,麌侯自作龢鐘用。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
西周,春秋,虞𤔲寇伯吹作寶壺，用享用孝，用祈眉壽。子子孫永寶用。
殷,西周,乙亥，尹各于宫，賞執，賜鋁二、筆二，執用作父丁尊彝。
西周,春秋,唯正月初吉庚午，囂伯媵嬴尹母沬盤。其萬年，子子孫永用之。
殷,西周,乙巳，子令小子逢先以人于堇。子光賞逢貝二朋，子曰：貝唯丁蔑汝𤯍，逢用作母辛彝，在十月，唯子曰令望夷方䍙，母辛𫤵。
春秋,西周,唯正月己亥，和肇作皇母懿龏孟姬饙彝。
春秋,西周,唯番君𨠣伯自作寶鼎，萬年無疆，子子孫永用。
西周,春秋,仲𢦚臣父肇合以金，用作仲寶器。
春秋,西周,商丘叔作其旅簠，其萬年，子子孫孫永寶用。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
戰國,春秋,太𢊾之𩜊盞。
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
春秋,西周,曹伯狄乍宿𫰉公尊𣪕，其萬年眉壽，子子孫孫，永寶用享。
