true_char,pred_topk,pred1,context
衡,香蘭泉水草,香,"王冊命尹,賜赤、幽、鋚 勒。"
銘,人子臣王時,人,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
叡,子曾於以吾,子,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
君,人子矣兒者,人,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
早,自捨廢舍不,自,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
智,學道識之志,學,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
以,酒茶一金香,酒,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
余,我汝君臣父,我,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
弋,汝以令與請,汝,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
報,賜奉以獻與,賜,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
