true_char,pred_topk,pred1,context
衡,黃衡爵蘇旂,黃,"王冊命尹,賜赤、幽、鋚 勒。"
人,人君子臣也,人,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
溺,溺墜墮入陷,溺,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
於,有馭受分於,有,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
亡,亡墜叛攻焚,亡,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
于,於于事恤靖,於,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
余,余敬厥師養,余,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
則,則亦效毋厥,則,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
宕,宕儆倍卯逾,宕,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
余,汝女我余子,汝,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
令,令裘者命事,令,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
賜,祈賜綏降受,祈,"唯曾伯文自作寶,用眉壽、黃耇 ,其萬年,子孫孫。"
子,子其女世兒,子,"唯曾伯文自作寶,用眉壽、黃耇 ,其萬年,子孫孫。"
命,令命王子伯,令,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
師,師伯子王人,師,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
追,追搏逐事發,追,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
訊,訊矢俘事符,訊,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
又,又人有夫員,又,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
車,車三四二馬,車,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
王,王子伯侯公,王,"余嚴天之命,入城不賡,侍春稔歲,吉日初庚,吳光𬨤 之穆贈舒金,青鋁 皇,以作持。"
子,子其之年君,子,"鄀 于子又自作旅,子孫孫永用。"
公,乙召公子寅,乙,"拜𩒨 首,休朕寶君伯,賜厥臣弟井五㮛 ,賜𧙧 冑、干戈,弗敢公伯休,對揚伯休。"
子,子叔孫仲白,子,"唯九月,初吉庚申,曾邍 彝為孟姬鑄媵 。"
即,即就初入中,即,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
考,考祖母姑宗,考,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
孫,孫後子世嗣,孫,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
之,之小孫逆太,之,"唯王正月,初吉丁亥,曰:余畢公之孫、呂伯子,余頡事君,余狩,作爲余鐘,玄鋁,大八肆,其四堵,矯矯其,既伸暢虡 ,大鐘既懸,玉鼓,余不敢爲驕,我以孝,樂我先祖,以祈眉壽,世世子孫,永以爲寶。"
