true_char,pred_topk,pred1,context
衡,衡衣蘇鬱黃,衡,"王冊命尹,賜赤、幽、鋚 勒。"
人,人子君之不,人,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
溺,溺墜汲墮入,溺,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
於,受有於萬制,受,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
亡,亡墜攻叛廢,亡,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
于,於于事在保,於,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
則,則亦又毋厥,則,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
余,汝余女今我,汝,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
令,令命事符詔,令,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
賜,祈賜綏祓降,祈,"唯曾伯文自作寶,用眉壽、黃耇 ,其萬年,子孫孫。"
子,子千世其百,子,"唯曾伯文自作寶,用眉壽、黃耇 ,其萬年,子孫孫。"
命,令命子唯王,令,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
師,師人東車上,師,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
追,追逆求從宥,追,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
訊,訊事之者訟,訊,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
又,又有船廿之,又,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
車,車船兵三士,車,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
王,王子侯伯君,王,"余嚴天之命,入城不賡,侍春稔歲,吉日初庚,吳光𬨤 之穆贈舒金,青鋁 皇,以作持。"
子,子其千世百,子,"鄀 于子又自作旅,子孫孫永用。"
公,烈召公定丕,烈,"拜𩒨 首,休朕寶君伯,賜厥臣弟井五㮛 ,賜𧙧 冑、干戈,弗敢公伯休,對揚伯休。"
子,子叔仲伯孫,子,"唯九月,初吉庚申,曾邍 彝為孟姬鑄媵 。"
即,即就入初中,即,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
考,考祖母父公,考,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
孫,孫萬千世子,孫,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
之,之小太庶嫡,之,"唯王正月,初吉丁亥,曰:余畢公之孫、呂伯子,余頡事君,余狩,作爲余鐘,玄鋁,大八肆,其四堵,矯矯其,既伸暢虡 ,大鐘既懸,玉鼓,余不敢爲驕,我以孝,樂我先祖,以祈眉壽,世世子孫,永以爲寶。"
鐘,鼓鐘音制于,鼓,"唯王正月,初吉丁亥,曰:余畢公之孫、呂伯子,余頡事君,余狩,作爲余鐘,玄鋁,大八肆,其四堵,矯矯其,既伸暢虡 ,大鐘既懸,玉鼓,余不敢爲驕,我以孝,樂我先祖,以祈眉壽,世世子孫,永以爲寶。"
享,享饗追從景,享,"唯王正月,初吉丁亥,曰:余畢公之孫、呂伯子,余頡事君,余狩,作爲余鐘,玄鋁,大八肆,其四堵,矯矯其,既伸暢虡 ,大鐘既懸,玉鼓,余不敢爲驕,我以孝,樂我先祖,以祈眉壽,世世子孫,永以爲寶。"
尊,尊寶寳旅龢,尊,"叔角父作朕皇考宄 公𣪕 ,其子子孫孫永寶用,。"
受,大受之永有,大,"王若曰:,丕顯文、武命,則乃祖奠周邦,今余汝嫡官邑人,先虎臣後:西門夷、秦夷、京夷、夷、師、側薪、華夷、弁夷、人、成周走亞、戌、秦人、降人、服夷,汝玄衣純、緇 、、戈琱 、厚、彤蘇、鑾旂、鋚 勒,用事, 首,對揚天"
命,令命唯為使,令,"王若曰:,丕顯文、武命,則乃祖奠周邦,今余汝嫡官邑人,先虎臣後:西門夷、秦夷、京夷、夷、師、側薪、華夷、弁夷、人、成周走亞、戌、秦人、降人、服夷,汝玄衣純、緇 、、戈琱 、厚、彤蘇、鑾旂、鋚 勒,用事, 首,對揚天"
賜,賜賞赐授俾,賜,"王若曰:,丕顯文、武命,則乃祖奠周邦,今余汝嫡官邑人,先虎臣後:西門夷、秦夷、京夷、夷、師、側薪、華夷、弁夷、人、成周走亞、戌、秦人、降人、服夷,汝玄衣純、緇 、、戈琱 、厚、彤蘇、鑾旂、鋚 勒,用事, 首,對揚天"
衡,衡黃純旂織,衡,"王若曰:,丕顯文、武命,則乃祖奠周邦,今余汝嫡官邑人,先虎臣後:西門夷、秦夷、京夷、夷、師、側薪、華夷、弁夷、人、成周走亞、戌、秦人、降人、服夷,汝玄衣純、緇 、、戈琱 、厚、彤蘇、鑾旂、鋚 勒,用事, 首,對揚天"
𩒨,𩒨匄卲𣪕巸,𩒨,"王若曰:,丕顯文、武命,則乃祖奠周邦,今余汝嫡官邑人,先虎臣後:西門夷、秦夷、京夷、夷、師、側薪、華夷、弁夷、人、成周走亞、戌、秦人、降人、服夷,汝玄衣純、緇 、、戈琱 、厚、彤蘇、鑾旂、鋚 勒,用事, 首,對揚天"
以,以用俾懽宴,以,"唯王正月,初吉乙巳,□朱勾之孫□亘□喪,王欲師,擇吉金,自作龢鐘,樂賓客,誌勞諸侯,往,余之客,酓酓 孔協,世後,無疾自下,允位,汝之利,台孫皆永寶。"
