true_char,pred_topk,pred1,context
銘,王之子若且,王,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
叡,與士及同父,與,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
君,子人國之士,子,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
早,廢既弗卒亡,廢,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
智,也俗耳義曆,也,"唯十四年中山王作鼎,于曰:烏乎,語不廢哉,寡聞之,與其溺於人也,寧於淵,昔者,燕君子噲 夫悟,長為人主,閈 天下之物矣,猶迷惑於子之而其邦,為天下戮,而況在於少乎,昔者,吾先考成王,棄群臣,寡人幼童,未通,唯傅姆是從,天降休命朕邦,有厥忠"
有,執卒立御之,執,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
以,二一寶三盥,二,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
余,年厥汝敬父,年,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
弋,召唯而命使,召,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
宕,賜多罰降拜,賜,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
報,賜賞獻畀俾,賜,"唯五年正月己丑,琱 甥事,召來合事,余獻氏壺,告曰:以君氏令曰,老止公,僕庸土田多,伯氏從許,公宕其,汝宕其貳,公宕其貳,汝則其一,余惠于君氏大璋,氏帛束、璜,召伯虎曰:余既訊,我考我母令,弗敢亂,余或致我考我母,琱 甥則覲"
昭,鮮成雍季群,鮮,"唯王卅又四祀,唯五月既戊午,王在京,禘 於王,鮮蔑,祼王𬔧 ,玉三品,貝廿朋,對王休,用作,子孫其永寶。"
祼,賜赐賞瑾鮮,賜,"唯王卅又四祀,唯五月既戊午,王在京,禘 於王,鮮蔑,祼王𬔧 ,玉三品,貝廿朋,對王休,用作,子孫其永寶。"
衣,圍在取禦伐,圍,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
人,公無之執戎,公,"唯十月,用玁 放𬌐 ,廣伐京師,告追于王,武公遣乃元士,羞追于京,武公命多友率公車,羞于京師,癸未,戎伐,孚,多友西追,甲申之辰,搏于,多友有折首執,凡以公車折首二百又□五人,執訊廿又三人,俘戎百乘一十又七乘,卒復俘,又搏于共"
尃,媵緇廩虢卲,媵,"余嚴天之命,入城不賡,侍春稔歲,吉日初庚,吳光𬨤 之穆贈舒金,青鋁 皇,以作持。"
望,廢揚蔽鄙諱,廢,"拜𩒨 首,休朕寶君伯,賜厥臣弟井五㮛 ,賜𧙧 冑、干戈,弗敢公伯休,對揚伯休。"
者,師盂汝伯工,師,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
克,受顯祈見享,受,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
哉,福命政德事,福,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
祇,儆厥綏對璋,儆,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
齋,厥王榮魯戎,厥,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
之,汝皇亡烈敢,汝,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
壽,民邦國政辟,民,"唯越十又九年,王曰:,汝亦虔秉丕經德,以總光,於之學,𧻚𧻚 ,弼王,往捍庶盟,以光朕位,今余其念乃有休祝成,烈壯用爯 ,光於肆,汝其用茲,綏安乃,思逸康樂,勿有不義,之於不啻,唯王命,元,乃德,子孫永保。"
勒,旂衡蘇彤珠,旂,"唯四年二月,既生霸戊戌,王在周師彔 宮,各大室,位,馬共佑,王乎史册賜靳、鞹 、鋚 ,敢對揚天子休,用作文寶𣪕 ,其萬年,子子孫其永寶,木羊册。"
