True,Pred,Text
春秋,西周,虢叔作叔殷㝅尊鬲。
春秋,西周,唯番昶伯者君，自作寶盤，其萬年子孫永寶用享。
西周,春秋,仲𢦚臣父肇合以金，用作仲寶器。
戰國,西周,燕王𬢧授行議鍨
西周,春秋,曼龔父作寶盨，用享孝宗室，用匄眉壽，子子孫孫永寶用。
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
西周,春秋,復公子伯舍曰：敃新作我姑登孟媿媵𣪕，永壽用之。
西周,春秋,單𬙜甥作羞豆，用享
西周,春秋,伯康作寶𣪕，用饗倗友，用饙王父、王母。施施受茲永命，無疆純祐。康其萬年眉壽，永寶茲𣪕，用夙夜無已。
西周,春秋,㠱伯子𫳙父，作其征盨，其陰其陽，以𨒌以行，匄眉壽無疆，慶其以臧。
西周,戰國,乙亥，王有大禮，王凡三方，王祀於天室，降，天亡宥王，衣祀於王丕顯考文王，事饎上帝，文王監在上，丕顯王則省，丕肆王則庸，丕克訖殷王祀，丁丑，王饗，大宜，王降亡嘉爵、退囊，唯朕有蔑，敏啓王休於尊𣪕。
西周,戰國,伊譒作簠，用事于考，永寳用之。
西周,春秋,伯百父作周姜寶𣪘，用夙夕享，用祈萬壽。
戰國,春秋,階侯微逆作簠，永壽用之。
西周,春秋,魯士商𠭯肇作朕皇考弔猒父尊𣪕，商𠭯其萬年眉壽，子子孫孫，永寶用享。
西周,春秋,唯五年正月己丑，琱甥有事，召來合事，余獻𫳮氏以壺，告曰：以君氏令曰，余老止公，僕庸土田多誎，弋伯氏從許，公宕其叄，汝則宕其貳，公宕其貳，汝則宕其一，余惠于君氏大璋，報𫳮氏帛束、璜，召伯虎曰：余既訊𪪙，我考我母令，余弗敢亂，余或致我考我母令，琱甥則覲圭。
戰國,春秋,齊陳曼不敢逸康，肇謹經德，作皇考獻叔饙盤，永保用簠。
戰國,春秋,十一月丁亥，純裔孫逆，作為皇祖大宗𣪕，以貺永令眉壽。子孫是保。
西周,春秋,叔邦父作簠，用征用行，用從君王，子子孫孫，其萬年無彊。
戰國,春秋,曰誕有䖵朼，墜王魚鼎，曰：欽哉，出游水虫，下民無智，參蚩尤命帛命入，𬅪滑入滑出，毋處其所。
戰國,春秋,唯正六月癸未，陳侯因齊曰：皇考孝武桓公恭戴，大謨克成，其惟因齊揚皇考，紹緟高祖黃帝，侎嗣𧻚文，朝問諸侯，答揚厥德，諸侯夤薦吉金，用作孝武𧻚公祭器敦。以烝以嘗，保有齊邦。世萬子孫，永為典常。
西周,春秋,魯小𤔲寇封孫𢇚，作其子孟姬𫱥媵盤匜，其眉壽萬年，永寶用之。
西周,春秋,□叔□奠□，黽以□其吉金，□寶壺，用賜眉壽，子子孫孫，其永用之。
戰國,西周,唯王廿又六年，聖桓之夫人曾姬無恤，𫊟安茲漾陵，蒿間之無匹。用作宗彝尊壺，後嗣用之，職在王室。
殷,西周,刺冊，作父己彝。
春秋,戰國,秦公曰：丕顯朕皇祖，受天命，冪宅禹跡，十又二公，在帝之坯，嚴恭夤天命，保業厥秦，赫吏蠻夏，余雖小子，穆穆帥秉明德，烈烈𧻚𧻚，萬民是敕，咸畜胤士，𫎽𫎽文武，鎮靖不廷，虔敬朕祀，作噚宗彝，以昭皇祖，其嚴遄各，以受純魯多釐，眉壽無疆，畯疐在天，高引有慶，造有四方，宜，西元器，一斗七升小賸升，𣪕，西，一斗七升大半升，蓋。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
