True,Pred,Text
殷,西周,王由攸田劦，作父丁尊，瀼。
戰國,春秋,階侯微逆作簠，永壽用之。
戰國,春秋,蚔生丕作戎械，燕侯載自洹來，大庇欽祇，廼熙。
春秋,戰國,滕侯昃之禦敦。
春秋,西周,邿譴作寶𣪘，用追孝于其父母，用賜永壽，子子孫孫，永寶用享
春秋,西周,戎獻金于子牙父百車，而賜魯殿敖金十鈞。賜不諱。殿敖用攃用璧，用𩒨首。其佑子嘟、史孟。殿敖謹用豹皮于史孟。用作寶𣪕，殿敖其子子孫孫永寶。
西周,春秋,益公爲楚氏龢鐘。
西周,殷,乙亥，王誥，畢公廼賜史䛗貝十朋，䛗由于彝，其于之朝夕監
春秋,戰國,工䱷太子姑發衈反，自乍元用，在行之先，云用云獲，莫敢禦余，余處江之陽，至於南行西行。
春秋,戰國,吉日壬午，作為元用，玄鏐𬬚鋁，朕余名之，謂之少虡。
春秋,西周,伯𪢔父作饙簠，其萬年永寳用。
戰國,春秋,正月季春，元日己丑，余畜孫書也，擇其吉金，以作鑄缶，以祭我皇祖，余以祈眉壽，欒書之子孫萬世是寶。
西周,春秋,芮公作鑄寳簠，子孫永寳用享。
春秋,西周,唯鄀正二月，鄀公敄人自作奏鐘，用追孝於厥皇祖哀公，皇考䢅公，用祈眉壽，萬年無疆，子子孫孫，永寶用之。
西周,戰國,宮令宰僕賜甹白金十鈞，甹敢拜稽首。
西周,春秋,侃先王，先王其儼在帝左右，畢逖不恭，𫿩𫿩𬉖𬉖，降余多福無疆。
戰國,春秋,戎𧻚搏武，敷入吳疆，惓作龢鐘。
戰國,春秋,天子建邦，中山侯忺作茲軍鈲，以儆厥眾。
戰國,春秋,麌侯自作龢鐘用。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
春秋,西周,唯正月己亥，和肇作皇母懿龏孟姬饙彝。
西周,春秋,仲𢦚臣父肇合以金，用作仲寶器。
春秋,西周,商丘叔作其旅簠，其萬年，子子孫孫永寶用。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
