True,Pred,Text
春秋,西周,"齊侯女雷聿喪其舅，齊侯命太子來句宗伯，聽命于天子，曰：期則爾期，余不其使汝受刺，遄傳祇御，爾其躋受御，齊侯拜嘉命，于上天子用璧玉𨌥一笥，于大無𤔲誓,于大𤔲命用璧、兩壺、八鼎，于南宮子用璧二𨌥，玉二笥，鼓鐘一銉，齊侯既躋洹子孟姜喪，其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜喪其人民都邑謹寠舞，用縱爾大樂，用鑄爾羞瓶，用御天子之事，洹子孟姜用乞嘉命，用祈眉壽，萬年無疆，用御爾事。"
殷,西周,王由攸田劦，作父丁尊，瀼。
戰國,春秋,階侯微逆作簠，永壽用之。
西周,春秋,伊譒作簠，用事于考，永寳用之。
春秋,戰國,滕侯昃之禦敦。
春秋,西周,邿譴作寶𣪘，用追孝于其父母，用賜永壽，子子孫孫，永寶用享
春秋,西周,戎獻金于子牙父百車，而賜魯殿敖金十鈞。賜不諱。殿敖用攃用璧，用𩒨首。其佑子嘟、史孟。殿敖謹用豹皮于史孟。用作寶𣪕，殿敖其子子孫孫永寶。
西周,春秋,益公爲楚氏龢鐘。
春秋,西周,唯王五月，初吉丁亥，齊辟鮑叔之孫、躋仲之子紷，作子仲姜寶鎛，用祈侯氏永命，萬年令保其身，用享孝于皇祖聖叔，皇妣聖姜，于皇祖又成惠叔，皇妣又成惠姜，皇考躋仲、皇母，用祈壽老毋死，保吾兄弟，用求考命、彌生，肅肅義政，保吾子姓，鮑叔有成勞于齊邦，侯氏賜之邑二百又九十又九邑，與鄩之民人都鄙，侯氏從造之曰：世萬至於台孫子，勿或渝改，鮑子紷曰：余彌心畏忌，余四事是以，余爲大攻厄、大吏、大徒、大宰，是台可使，子子孫永保用享。
西周,殷,乙亥，王誥，畢公廼賜史䛗貝十朋，䛗由于彝，其于之朝夕監
春秋,戰國,工䱷太子姑發衈反，自乍元用，在行之先，云用云獲，莫敢禦余，余處江之陽，至於南行西行。
春秋,西周,唯鄧九月初吉，不故女夫人以迮鄧公，用為女夫人尊𢽞𬢫。
春秋,戰國,吉日壬午，作為元用，玄鏐𬬚鋁，朕余名之，謂之少虡。
戰國,春秋,正月季春，元日己丑，余畜孫書也，擇其吉金，以作鑄缶，以祭我皇祖，余以祈眉壽，欒書之子孫萬世是寶。
西周,春秋,芮公作鑄寳簠，子孫永寳用享。
西周,殷,宮令宰僕賜甹白金十鈞，甹敢拜稽首。
戰國,春秋,戎𧻚搏武，敷入吳疆，惓作龢鐘。
戰國,春秋,麌侯自作龢鐘用。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
西周,春秋,虞𤔲寇伯吹作寶壺，用享用孝，用祈眉壽。子子孫永寶用。
春秋,西周,唯正月己亥，和肇作皇母懿龏孟姬饙彝。
西周,春秋,仲𢦚臣父肇合以金，用作仲寶器。
春秋,西周,商丘叔作其旅簠，其萬年，子子孫孫永寶用。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
