True,Pred,Text
春秋,西周,虢叔作叔殷㝅尊鬲。
春秋,西周,唯番昶伯者君，自作寶盤，其萬年子孫永寶用享。
西周,春秋,仲𢦚臣父肇合以金，用作仲寶器。
春秋,戰國,遇邗王于黃池，為趙孟介，邗王之賜金，以為祠器。
戰國,西周,燕王𬢧授行議鍨
戰國,春秋,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
西周,春秋,唯八月既生霸庚申，辛□□胃□[UNK-10167-0]□ [UNK-10167-1]，䜌伯方□邑，印𫠤山，賜三國，□入吳，□□□亟斿西□，鼎立，□邑百，□鋚金，自作浣盤，其萬年眉壽，黃耇，子子孫孫，寶用於新邑。
西周,春秋,復公子伯舍曰：敃新作我姑登孟媿媵𣪕，永壽用之。
西周,春秋,單𬙜甥作羞豆，用享
西周,春秋,㠱伯子𫳙父，作其征盨，其陰其陽，以𨒌以行，匄眉壽無疆，慶其以臧。
西周,春秋,伊譒作簠，用事于考，永寳用之。
戰國,春秋,階侯微逆作簠，永壽用之。
西周,春秋,芮太子白作簠，其萬年，子子孫孫永用。
春秋,戰國,唯荊曆屈夕，晉人救戎于楚境。
戰國,春秋,齊陳曼不敢逸康，肇謹經德，作皇考獻叔饙盤，永保用簠。
戰國,西周,十一月丁亥，純裔孫逆，作為皇祖大宗𣪕，以貺永令眉壽。子孫是保。
戰國,春秋,唯正六月癸未，陳侯因齊曰：皇考孝武桓公恭戴，大謨克成，其惟因齊揚皇考，紹緟高祖黃帝，侎嗣𧻚文，朝問諸侯，答揚厥德，諸侯夤薦吉金，用作孝武𧻚公祭器敦。以烝以嘗，保有齊邦。世萬子孫，永為典常。
春秋,西周,陸融之孫邾公𫒇        ，作厥龢鐘，用敬恤盟祀，祈年眉壽，用樂我嘉賓，及我正卿，揚君靈，君以萬年。
西周,春秋,魯小𤔲寇封孫𢇚，作其子孟姬𫱥媵盤匜，其眉壽萬年，永寶用之。
西周,春秋,□叔□奠□，黽以□其吉金，□寶壺，用賜眉壽，子子孫孫，其永用之。
戰國,西周,唯王廿又六年，聖桓之夫人曾姬無恤，𫊟安茲漾陵，蒿間之無匹。用作宗彝尊壺，後嗣用之，職在王室。
西周,春秋,交君子叕肇作寶簠，其眉壽萬年，永寶用。
殷,西周,刺冊，作父己彝。
春秋,西周,秦公曰：丕顯朕皇祖，受天命，冪宅禹跡，十又二公，在帝之坯，嚴恭夤天命，保業厥秦，赫吏蠻夏，余雖小子，穆穆帥秉明德，烈烈𧻚𧻚，萬民是敕，咸畜胤士，𫎽𫎽文武，鎮靖不廷，虔敬朕祀，作噚宗彝，以昭皇祖，其嚴遄各，以受純魯多釐，眉壽無疆，畯疐在天，高引有慶，造有四方，宜，西元器，一斗七升小賸升，𣪕，西，一斗七升大半升，蓋。
西周,春秋,唯羌仲虎，擇其吉金，用自作寶簠，其子子孫孫。永寶用享。
