true_char,pred_topk,pred1,context
賓,賓王公人子,賓,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
入,入之進於有,入,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
俘,獲俘擄殺取,獲,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
俘,俘死虜獲擄,俘,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
事,事罪言疾禮,事,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
宕,宕左高宜沮,宕,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
其,其之而於以,其,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
孫,子孫之亦皆,子,唯 曾 伯 文 自 作 寶 ， 用 賜 壽 、 黃 耇 ， 其 萬 年 ， 子 子 孫 。
三,三二五一四,三,唯 王 卅 又 四 祀 ， 唯 五 月 既 戊 午 ， 王 在 京 ， 禘 於 昭 ， 鮮 蔑 ， 王 𬔧 ， 玉 品 ， 貝 廿 朋 ， 對 王 休 ， 用 ， 子 孫 其 永 寶 。
公,公王帝侯宗,公,唯 十 月 ， 用 放 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
師,師师城都中,師,唯 十 月 ， 用 放 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
多,多大少太其,多,唯 十 月 ， 用 放 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
以,獲有得為以,獲,唯 十 月 ， 用 放 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
不,其不三一之,其,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
子,孫子弟人君,孫,唯 王 正 月 ， 初 吉 丁 亥 ， 呂 曰 ： 余 畢 公 之 孫 、 呂 伯 之 ， 余 頡 事 君 ， 余 狩 武 ， 作 爲 余 鐘 ， 玄 鋁 ， 大 八 肆 ， 其 四 堵 ， 矯 矯 其 ， 既 伸 暢 虡 ， 大 鐘 既 懸 ， 鼓 ， 余 不 敢 爲 驕 ， 我 享 孝 ， 樂 我 先 祖 ， 以 祈 眉 ， 世 世 子 孫 ， 永 以 爲 寶 。
鐘,鐘鼓樂尺門,鐘,唯 王 正 月 ， 初 吉 丁 亥 ， 呂 曰 ： 余 畢 公 之 孫 、 呂 伯 之 ， 余 頡 事 君 ， 余 狩 武 ， 作 爲 余 鐘 ， 玄 鋁 ， 大 八 肆 ， 其 四 堵 ， 矯 矯 其 ， 既 伸 暢 虡 ， 大 鐘 既 懸 ， 鼓 ， 余 不 敢 爲 驕 ， 我 享 孝 ， 樂 我 先 祖 ， 以 祈 眉 ， 世 世 子 孫 ， 永 以 爲 寶 。
以,以為我所能,以,唯 王 正 月 ， 初 吉 丁 亥 ， 呂 曰 ： 余 畢 公 之 孫 、 呂 伯 之 ， 余 頡 事 君 ， 余 狩 武 ， 作 爲 余 鐘 ， 玄 鋁 ， 大 八 肆 ， 其 四 堵 ， 矯 矯 其 ， 既 伸 暢 虡 ， 大 鐘 既 懸 ， 鼓 ， 余 不 敢 爲 驕 ， 我 享 孝 ， 樂 我 先 祖 ， 以 祈 眉 ， 世 世 子 孫 ， 永 以 爲 寶 。
之,之所為有永,之,唯 王 正 月 ， 初 吉 乙 巳 ， □ 勾 之 孫 □ 亘 □ 喪 ， 王 欲 復 ， 擇 吉 金 ， 自 作 龢 鐘 ， 以 賓 客 ， 誌 勞 諸 侯 ， 往 矣 ， 余 之 客 ， 酓 酓 孔 協 ， 萬 世 ， 無 疾 自 下 ， 允 位 ， 同 汝 利 ， 台 孫 皆 永 寶 。
牡,牡鹿之馬丹,牡,庚 伐 陸 ， 睪 其 王 ， 𬟰 方 相 乘 牡 ， 釗 不 □ 其 王 乘 ， 與 以 □ 師 。
子,孫子其餘中,孫,楚 季 苟 作 尊 媵 盤 ， 其 子 孫 孫 ， 永 寶 用 享 。
不,於不于之莫,於,王 若 曰 ： 父 ， 丕 顯 文 武 ， 皇 天 引 厭 厥 德 配 我 有 周 ， 受 大 命 ， 率 懷 不 廷 方 ， 亡 覲 于 文 武 耿 光 ， 唯 天 壯 集 命 ， 亦 唯 先 正 厥 辟 ， 堇 大 命 ， 肆 皇 天 亡 ， 臨 我 有 周 ， 丕 鞏 先 王 配 命 ， 天 疾 威 ， 司 余 小 子 弗 彶 ， 將 曷 吉 ， 四 方 ， 大 縱 靖 ， 烏 乎 ， 余 小 子 ， 于 艱 ， 永 鞏 先
