true_char,pred_topk,pred1,context
衡,靈谷厲石林,靈,王 冊 命 尹 ， 賜 赤 芾 、 幽 、 鋚 勒 。
貝,士人夫十牲,士,辛 亥 ， 王 在 寢 ， 賞 寢 敄 □ 二 朋 ， 用 作 祖 癸 寶 尊 。
昧,日不旦王明,日,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
酋,士車戟尸甲,士,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
聝,人百十匹疋,人,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
事,疾罪司月子,疾,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
壺,告盟貳歸許,告,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
老,欲請既將不,欲,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
伯,父夫甫陽男,父,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
宕,受予有無執,受,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
余,我吾予汝公,我,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
眉,祝壽萬慶之,祝,唯 曾 伯 文 自 作 寶 ， 用 賜 壽 、 黃 耇 ， 其 萬 年 ， 子 子 孫 。
作,之幣寶玉吉,之,唯 王 卅 又 四 祀 ， 唯 五 月 既 戊 午 ， 王 在 京 ， 禘 於 昭 ， 鮮 蔑 ， 王 𬔧 ， 玉 品 ， 貝 廿 朋 ， 對 王 休 ， 用 ， 子 孫 其 永 寶 。
伐,于於涉之行,于,唯 十 月 ， 用 玁 放 𬌐 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
遣,使以為子命,使,唯 十 月 ， 用 玁 放 𬌐 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
以,獲率殺有用,獲,唯 十 月 ， 用 玁 放 𬌐 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
侍,孟仲季中元,孟,余 嚴 天 之 命 ， 入 城 不 賡 ， 春 稔 歲 ， 吉 日 初 庚 ， 吳 王 𬨤 之 穆 贈 舒 金 ， 青 鋁 尃 皇 ， 以 作 持 。
光,使以命乃令,使,余 嚴 天 之 命 ， 入 城 不 賡 ， 春 稔 歲 ， 吉 日 初 庚 ， 吳 王 𬨤 之 穆 贈 舒 金 ， 青 鋁 尃 皇 ， 以 作 持 。
冑,帛玉車馬斧,帛,拜 𩒨 首 ， 休 朕 寶 君 公 伯 ， 賜 厥 臣 弟 井 五 㮛 ， 賜 𧙧 、 干 戈 ， 弗 敢 望 公 伯 休 ， 對 揚 伯 休 。
總,明永厥王祇,明,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
弼,惟昔唯今若,惟,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
朕,即為于之其,即,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
祝,乃不既用之,乃,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
逸,惟有我于維,惟,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
不,大天王厥我,大,唯 越 十 又 九 年 ， 王 曰 ： 者 ， 汝 亦 虔 秉 丕 經 德 ， 以 克 光 ， 於 之 學 ， 𧻚 𧻚 哉 ， 王 ， 往 捍 庶 盟 ， 以 祇 光 位 ， 今 余 其 念 乃 有 齋 休 成 ， 烈 壯 用 爯 ， 光 之 於 肆 ， 汝 其 用 茲 ， 綏 安 乃 壽 ， 思 康 樂 ， 勿 有 不 義 ， 之 於 啻 ， 唯 王 命 ， 元 ， 乃 德 ， 子 孫 永 保 。
