true_char,pred_topk,pred1,context
衡,衣黃赤車金,衣,王 冊 命 尹 ， 賜 赤 芾 、 幽 、 鋚 勒 。
酋,貝帛舟此馬,貝,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
聝,匹刀朋里車,匹,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
俘,賜屯載中車,賜,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
事,疾望周齊逆,疾,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
壺,貝皮召田廩,貝,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
老,弗不若監則,弗,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
伯,侯尹君公楷,侯,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
宕,召汝殺命告,召,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
王,宮廟陵京侯,宮,唯 王 卅 又 四 祀 ， 唯 五 月 既 戊 午 ， 王 在 京 ， 禘 於 昭 ， 鮮 蔑 ， 王 𬔧 ， 玉 品 ， 貝 廿 朋 ， 對 王 休 ， 用 ， 子 孫 其 永 寶 。
作,享饗饋之祀,享,唯 王 卅 又 四 祀 ， 唯 五 月 既 戊 午 ， 王 在 京 ， 禘 於 昭 ， 鮮 蔑 ， 王 𬔧 ， 玉 品 ， 貝 廿 朋 ， 對 王 休 ， 用 ， 子 孫 其 永 寶 。
伐,于自克及宗,于,唯 十 月 ， 用 玁 放 𬌐 ， 廣 京 師 ， 告 追 于 王 ， 命 武 公 乃 元 士 ， 羞 追 于 京 師 ， 武 命 多 友 率 公 車 ， 羞 追 于 京 ， 癸 未 ， 戎 伐 ， 衣 孚 ， 友 西 追 ， 甲 申 之 辰 ， 搏 于 ， 多 友 有 折 首 執 訊 ， 凡 公 車 折 首 二 百 又 □ 又 五 人 ， 執 訊 廿 又 三 人 ， 俘 戎 車 百 一 十 又 七 乘 ， 卒 復 人 俘 ， 又 搏 于 共 ， 折
