true_char,pred_topk,pred1,context
貝,貝玉十金石,貝,辛 亥 ， 王 在 寢 ， 賞 寢 敄 □ 二 朋 ， 用 作 祖 癸 寶 尊 。
昧,昧王神咸辰,昧,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
俘,賜赐俘獲走,賜,唯 八 月 既 望 ， 辰 在 甲 申 ， 爽 ， 三 左 三 右 多 君 入 服 酒 ， 明 ， 王 各 周 廟 ， □□□ 邦 ， 延 邦 賓 尊 其 旅 服 ， 東 嚮 ， 盂 以 多 旂 佩 ， 鬼 方 子 □□ 三 門 ， 告 曰 ： 王 令 盂 以 □□ 伐 鬼 方 ， □□□ 聝 □ ， 執 三 人 ， 獲 聝 四 千 八 百 又 二 ， 俘 人 萬 三 千 八 十 一 人 ， 馬 四 □□ 匹 ， 俘 車 卅 輛 ， 牛 三 百 五 十 五
事,疾禮祀晉事,疾,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
伯,尹侯伯仲公,尹,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
其,其又王有汝,其,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
余,余汝我吾公,余,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
弗,不其弗毋乃,不,唯 五 年 正 月 己 丑 ， 琱 甥 有 ， 召 來 合 事 ， 余 獻 氏 以 ， 告 曰 ： 以 君 氏 令 曰 ， 余 止 公 ， 僕 庸 土 田 多 ， 弋 氏 從 許 ， 公 宕 其 ， 汝 則 其 貳 ， 公 宕 其 貳 ， 汝 則 宕 一 ， 余 惠 于 君 氏 大 璋 ， 報 氏 帛 束 、 璜 ， 召 伯 虎 曰 ： 既 訊 ， 我 考 我 母 令 ， 余 敢 亂 ， 余 或 致 我 考 我 母 令 ， 琱 甥 則 覲 圭 。
眉,眉永伯萬福,眉,唯 曾 伯 文 自 作 寶 ， 用 賜 壽 、 黃 耇 ， 其 萬 年 ， 子 子 孫 。
孫,孫子永寶之,孫,唯 曾 伯 文 自 作 寶 ， 用 賜 壽 、 黃 耇 ， 其 萬 年 ， 子 子 孫 。
